Texto del mensaje,Aplica a sano,Aplica a indicada,
Últimamente he estado muy preocupadx por mi aspecto físico y por la imagen que los demás tienen de mí.  ¿Cómo crees que estoy viviendo esa situación?,x,,
¿Qué opinas sobre la forma que tengo de valorar mi cuerpo?,x,,
Hay días que me planteo no comer y si como me siento muy culpable.  ¿Qué alimentos crees que he dejado de tomar?,x,,
De verdad pienso que no valgo para nada si mi cuerpo no es como yo me imagino que debe ser. ¿Cómo crees que me siento si pienso que puedo llegar a engordar?,x,,
"Cuando pasan los días y veo que no consigo mis metas, no puedo evitar pensar que la vida no tiene sentido… ¿Cómo crees que me siento?",x,,
Me gustaría pedirle ayuda a alguien pero… ¿A quién crees que puedo pedirle ayuda?,x,,
"Si tú tuvieras muchísimo miedo de engordar, tanto que dejases de comer, ¿cómo te gustaría que reaccionasen tus seres queridos?",x,,
¿Qué webs o perfiles debo seguir para hacer una buena dieta?,x,,
"Si tuvieras que explicarle a alguien que no ha sentido nunca terror por poder engordar, ¿qué le dirías?",x,x,
"Últimamente no paro de verme fatal con todo lo que me pongo, ¿cómo te sientes tú cuando tienes que vestirte para salir con tu amigxs o tu familia?",,x,
A veces me da un poco de envidia la gente que se ve tan bien y no tiene nigún problema con su propio cuerpo... ¿qué piensas tú sobre tu forma física?,,x,
¿Te imaginas qué debe pensar alguien que te quiera mucho sobre la forma en la que valoras tu cuerpo?,,x,
"Yo a veces siento que todo lo que como me va hacer engordar y me preocupan mucho las calorías que tienen los alimentos, ¿tú has dejado de tomar algún alimento?",,x,
"Sé que a algunas personas les puede parecer exagerado pero es que, de verdad, me siento fatal si pienso que mi cuerpo no es justo como me imagino que debe ser, ¿cómo te sientes tú cuando piensas en cómo debería ser?",,x,
"A veces van pasando los días y no consigo perder peso todo lo rápido que me gustaría y me siento completamente frustadx, sin energía y sin ganas de nada. ¿Qué pensamientos te viene a ti cuando piensas en perder peso?",,x,
"Es que a veces esta situación puede hacerte perder un poco la esperanza o las ganas, ¿cómo te hace ver la vida todo esto?",,x,Pregunta de reevalución de suicidio/ S----> ALERTA
"Todo esto es horrible, no me gusta nada sentirme así y me gustaría pedir ayuda. ¿Cómo pedirías ayuda tú para superar esta situación?",,x,S---> pregunta 26 y 27/N---> pregunta 28
"Si le contaras esto a alguien que te escuchara de verdad, ¿de qué forma crees que te ayudaría?",,x,
"Las personas que nos quieren siempre intentan echarnos una mano de la forma que mejor saben, pero a veces necesitamos algo más. ¿Cómo te gustaría que reaccionaran tus seres queridos si supieran todo lo que te está pasando?",,x,
"Debe ser muy difícil pensar en contarle esto a alguien. Hay veces en las que no nos atrevemos a contar todo esto, ¿qué te echa para atrás a la hora de contar tu experiencia?",,x,
