Texto del mensaje,Aplica a sano,Aplica a indicada,
Últimamente he estado sintiéndome muy preocupadx todo el tiempo. ¿Qué cosas crees que puden preocuparle a alguien de nuestra edad?,x,x,
¿Qué cosas son las que más te preocupan?,,x,
"Hay muchas cosas que me agobian, las notas, causar buena impresión a los demás, hacer las cosas lo más perfectas posibles, la salud de mi familia…¿Cómo crees que puedo sentirme cuando quiero dejar de pensar en lo que me preocupa y no puedo?",x,,
¿Cómo te sientes cuando quieres dejar de estar preocupado/a y no puedes?,,x,
"Estoy tensx todo el tiempo, me duelen los músculos y la cabeza, me cuesta dormir porque estoy todo el rato dándole vueltas al mismo tema... ¿Qué otras cosas puedo sentir en el cuerpo cuando estoy preocupadx?",x,,
A veces noto que estoy tan preocupadx que no duermo bien y me duelen los múculos. ¿Qué sensaciones notas en el cuerpo cuando notas que estás muy preocupado/a?,,x,
"A veces he preferido no quedar con mis amigos/as porque sé que voy a estar con ellos pero todo el rato dándole vueltas a la cabeza, ¿qué cosas has dejado de hacer tú por estar preocupado/a?",,x,
"Siento que no puedo para de estar preocupadx. ¡Necesito que pare ya este agobio! ¿A quién crees que puedo pedirle ayuda?
",x,,
"Siento que no puedo para de estar preocupadx. ¡Necesito que pare ya este agobio! ¿tú cómo pedirías ayuda?
",,x,
"Imagina que le cuento a alguien que me escucha de verdad que no puedo parar de estar preocupadx, ¿qué crees que me diría?
",x,x,
"Imagina que le cuentas a alguien que te escucha de verdad que no puedes parar de estar preocupado/a, ¿qué crees que te diría?
",,x,
" Si vivieras situaciones que te preocupasen bastante ¿cómo te gustaría que reaccionasen tus seres queridos?
",x,,
Vivir con preocupaciones es fastidioso pero ayuda mucho a contarlo. Si lo has contando alguna vez ¿Como reaccionaron contigo?,,x,
