Texto del mensaje,Aplica a sano,Aplica a indicada,
A veces me suelo preocupar mucho cuando estoy lejos de mi familia… ¿Cómo crees que estoy viviendo esa situación?,x,x,
"A veces a mi también se me hace un poco complicado estar lejos de mi familia, ¿cómo llevas tú la situación?",,x,
"Me pongo mal cuando veo que las personas que me cuidan hacen planes sin mi, he llegado a llorar y lo he pasado muy mal cuando ocurre… ¿Te imaginas que otras situaciones me pueden agobiar?",x,x,
¿En que situaciones te agobias si no estás con tus padres?,,x,
Pienso que les puede pasar algo malo a mis padres cuando estamos separados... Hace poco me invitaron a un cumpleaños y dije que no iba porque no quería separarme de mi familia. ¿Qué otras cosas crees que me está fastidiando estar tan preocupadx?,x,x,
"A veces dejo de hacer planes porque me agobia un montón separarme de mi madre, ¿qué cosas dejas de hacer tú para no separte de tus padres?",,x,
Por las noches me siento más cómodx cuando duermo con mi madre o mi padre o cuando sé que están cerca cuando voy a dormir.  ¿Qué otras cosas crees que hago para sentirme más cómodx?,x,x,
"Por las noches me siento más cómodx si duermo un rato con mis padres, ¿qué cosas haces tú para estar más cómodo/a?",,x,
Noto que desde hace un mes me da un miedo terrible que le pueda pasar algo a la persona que me cuida. A lo mejor piensas que soy muy mayor para esto pero ¿cómo se lo explicarías a alguien que nunca ha sentido ese miedo?,,x,
"Me gustaría pedirle ayuda a alguien porque no me gusta estar tan preocupadx porque les pueda pasar algo a mis padres cuando no están conmigo, pero... ¿A quién crees que puedo pedirle ayuda?
",x,x,
"A veces pue dar un poco de cosa hablar de estar preocupado porque les pueda pasar algo a las personas que te cuidan, pero, ¿tú le has pedido ayuda a alguien?",,x,
"Imagina que le cuento a alguien que me agobia un montón que les pase algo malo a mis padres cuando no están conmigo, ¿qué crees que me diría?
",x,,
"Si tú le comentaras a alguien que te agobia mucho que les pueda pasar algo malo a tu padre o a tu madre cuando no están contigo, ¿qué crees que te diría?",,x,
"Si tú estuvieras preocupado/a porque les pudiera pasar algo malo a las personas que te cuidan cuando no están contigo, ¿cómo te gustaría que reaccionase la gente de tu entorno?
",x,,
