Texto del mensaje,Aplica a sano,Aplica a indicada,
Hay miedos de los que no habla mucha gente... Me gustaría saber tu opinión sobre sentir vergüenza a la hora de hablar con otras personas.,x,x,
Yo mismx he notado que llevo un tiempo super cortadx porque tengo miedo de hacer el ridículo en situaciones en las que hay más personas. ¿Podrías exlicar cómo crees que estoy viviendo estas situaciones?,x,x,
"Algunas personas pueden pensar que la vergüenza que siento es una exageración, ¿cómo vives tú las situaciones en las que la gente puede estar viendo lo que haces?",,x,
¿Te imaginas cuáles son las cosas que dejo de hacer por ser tan cortadx?,x,,
"Hay cosas que literalmente no hago porque me dan muchísima vergüenza como comer en público o hablar con el dependiente de una tienda, ¿qué cosas son las que no haces tú porque te dan vergüenza?",,x,
Siento muchísima vergüenza cuando tengo que hablar con gente que no conozco muy bien o llamar a mis amigos... ¿Se te ocurren otras situaciones cotidianas en las que sienta vergüenza? ,x,,
A veces creo que nadie entiende el nivel de vergüenza que siento... ¿cómo explicarías a alguien lo que es sentir tanta vergüenza?,,x,
¿Qué cosas crees que siento en el cuerpo cuando tengo vergüenza?,x,,
"¡Me muero de la vergüenza! Me pongo rojo, empiezo a sudar, intentó salir de esa situación como sea. ¿Qué sensaciones físicas experimentas tú en estas situaciones?",,x,
" ¿Cómo le explicarías todo esto a una persona que nunca ha sentido vergüenza para quedar con sus amigos/as?
",x,,
"Me gustaría pedirle ayuda a alguien porque no me gusta ser tan cortadx... ¿Qué crees que me diría la persona a la que le contara todo esto?
",x,x,
 ¡imagina hablar con alguien para pedirle ayuda con toda esta vergüenza! ¿Cómo pedirías ayuda para vencer estas situaciones?,,x,
"Imagina que encuentras a alguien que te apoye y te escuche de verdad, ¿qué crees que te diría esa persona cuando le contaras que a veces te da mucho miedo hacer el ridículo?",,x,
"Imagina que encuentro a alguien que me apoya y me escucha de verdad, ¿qué crees que me dirá esa persona cuando le cuente que me da mucho miedo hacer el ridículo?",x,,
"Si le contases lo mal que te sientes en algunas situaciones en las que hay otras personas a alguien que te quiere, ¿qué crees que te diría?",,x,
"Si a tú sintieras muchísima vergüenza en situaciones sociales, ¿cómo te gustaría que reaccionasen tus seres queridos?
",x,,
