Texto del mensaje,Aplica a sano,Aplica a indicada,
"Hay situaciones en las que no puedo soportar pensar que haya comido tanto… A veces, incluso llego a vomitar para compensar lo mal que me siento ¿Cómo describirías lo que es sentir esas preocupaciones?",x,x,
"hay veces que he perdido el control y no podía parar de comer, luego hago ejercicio hasta que mis piernas no pueden más, tomo zumos detox o vomito. ¿Se te ocurre qué otras cosas he podido hacer?",x,,
"Hago lo que sea para contrarrestar la culpa que siento por haber comido tanto…al menos una vez por semana durante estos últimos 3 meses. Si tuvieras que explicarle esa experiencia a alguien que no la ha vivido nunca, ¿qué le dirías?",x,,
¿Cómo piensas que puedo sentirme después de haberme dado un atracón?,x,,
"Pienso mucho últimamente en mi cuerpo, en qué pensaran los demás de cómo soy o cuánto valgo como persona, ¿Qué pensamientos tienes tú sobre cómo te valoran los demás?",,x,
"Cuando pierdo por completo e control de lo que estoy comiendo, luego me vienen pensamientos súper negativos. ¿Cómo te sientes tú después de haber comido sin poder parar?",,x,
"Cuando me siento tan mal, a veces intento hacer algo para compensar todo lo que he comido. Algunos días solo tomo zumos detox y otros hago muchísimo ejercicio. ¿Hay alguna otra cosa que hagas tú para comensar lo que has comido?",,x,
"Hago lo que sea para aliviar un poco la culpa que siento por haber comido tanto… y, a veces también vomito. Está situación es muy difícil de explicar a las personas que se preocupan por nosotros/as. ¿Cómo le contarías todo esto a alguien que te quiere mucho?",,x,
"Pienso mucho en pedir ayuda porque no me gusta nada notar que no tengo control sobre lo que como o sobre todo lo que me preocupa mi cuerpo, ¿cómo pedirías ayuda tú?",,x,
"Yo sé que a la gente que me quiere no le gustaría que yo me sintiera así de mal, ¿qué te diría alguien que te quiere si le contaras todo esto?",,x,
"Este tema es súper difícil contar, a nadie le gusta que los demás sepan que está mal. ¿Qué es lo que más te costaría expresar si tuvieras que hablar de esto?",,x,
