Texto del mensaje,Aplica a sano,Aplica a indicada,
"No sé si es por las cosas que me han estado pasando estos días, pero desde hace unas dos semanas me siento sin ganas de hacer las cosas que antes me encantaba hacer. ¿Cómo le explicarías esta situación a alguien que te cae bien?",x,,
Me cuesta mucho dormir por las noches y por las mañanas estoy cansadísimo. ¿Podrías decirme cómo puede llegar a afectar eso a la vida de una persona?,x,,
Tengo todo el rato la sensación de que las cosas no van a mejorar nunca y de que la vida no vale la pena. ¿Qué tipo de cosas podrían ayudarme ahora?,x,,
A veces no tengo nada de apetito y otras veces siento que estoy comiendo más de la cuenta pero no es porque quiera adelgazar sino porque no tengo ni ánimo para comer cosas que siempre me han encantado como los espaguetis… ¿Cómo explicarías esa situación si te estuviera pasando a ti?,x,,
Algunos días siento que me muevo más despacio de lo normal y cuando tengo que hacer algo que requiere un poco de atención me cuesta mucho concentrarme. ¿Cómo crees que afecta eso cuando quedo con mis amigos o cuando tengo que estar en clase?,x,,
"Algunos días noto que estoy irritable y que me enfada o me pone muy triste cualquier tontería, cosas que antes no me molestaban. ¿Podrías contarme tu experiencia en situaciones parecidas?",x,,
A veces creo que debería pedir ayuda. ¿Qué me recomiendas?,x,,
"Me da un poco de cosa contarle lo triste que me siento a la gente que quiero,  ¿qué crees que me dirán?",x,,
Creo que a cada persona le afectan las cosas de una manera distinta y que una misma situación puede ponerme triste a mi pero a ti no…  ¿qué es para ti estar deprimido?,x,,
"Me gustaría pensar que las cosas van a mejorar pero me cuesta mucho llegar tener esa idea en mi cabeza,  ¿qué cosas crees que podrían ayudarme con esta situación?",x,,
En algunas ocasiones me he puesto tan mal pensando que las cosas nunca mejorarán que he llegado a pensar que preferiría no despertarme… ¿Alguna vez has pensado algo parecido?,x,x,Pregunta de reevalución de suicidio
"No sé muy bien por qué me siento con tan pocas ganas últimamente, pero noto que ya no me apetece mucho hacer cosas que antes me encantaba hacer. ¿Qué cosas has dejado de hacer tú?",,x,
"A lo mejor no tengo ganas de nada porque estoy súper cansadx. Es que duermo fatal, ¿cómo estás durmiendo tú?",,x,
"No sé si tu habrás notado también que te ha cambiado el apetito, ¿cómo dirías que ha influido todo esto en las ganas que tienes de comer?",,x,
"Me preocupa un poco lo flojx que estoy. Incluso siento como si me moviera más lento, pero otros días me siento como agitado ¿cómo te notas el cuerpo tú?",,x,
¿Puedes contarme un poco si a ti también te pasa que te notas super irritable? Hay días que siento que todo me molesta y me baja muchísimo el ánimo...,,x,
