Texto del mensaje,Aplica a sano,Aplica a indicada,
"Este año para mi esta siendo bastante difícil,¿Cómo crees que pueden sentirse aquellas personas que esten tristes o malhumoradas durante un año?",x,x,
Ha tenido que ser un año duro ¿cómo te has sentido este tiempo?,,x,
Seguramente algunas personas de mi alrededor se están dando cuenta de esta situaciones ¿Quién crees que pueden darse cuenta?,x,,
Seguramente algunas personas de mi alrededor se están dando cuenta de esta situaciones ¿Quién de tu alrededor te ha dicho que te nota más cambiadx?,,x,
"Estos días me he sentido más cansado, sin ganas de hacer cosas que me gustan ¿qué cosas piensas que he dejado de hacer?",x,,
"Estos días me he sentido más cansado, sin ganas de hacer cosas que me gustan  ¿Qué cosas has dejado de hacer este tiempo?",,x,
He perdido amistades por no querer salir con ellos ¿cómo crees que esta afectando a mi vida cotidiana?,x,,
He perdido amistades por no querer salir con ellos ¿cómo te esta afectando a tu vida cotidiana?,,x,
"Me gustaría pedirle ayuda a alguien pero… ¿A quién crees que puedo pedirle ayuda?
",x,,
Me gustaría pedirle ayuda a alguien pero…¿a quién le pedirías ayuda?,,x,
"Las personas que nos quieren siempre van a intentar hacer lo mejor por nosotros, ¿qué crees que te diría un ser querido si le contaras cómo te sientes?
",,x,
"Si a ti te estuviera pasando esta situación de tristeza ¿cómo te gustaría que reaccionasen tus seres queridos?
",x,,
En esta situación de tristeza ¿Cómo llegó a ayudarte la gente de tu alrededor?,,x,
