Texto del mensaje,Aplica a sano,Aplica a indicada,
"Hay algunas cosas concretas que me dan mucho, pero mucho miedo… ¿Hay algo que de mucho miedo?",x,x,
La personas suelen confundir el miedo con el asco y no es lo mismo. ¿Qué es lo que te da mucho miedo?,,x,
"A mi lo que me da miedo son ¡¡las ARAÑAS!! Hasta pensar en ellas hace que se me pongan los pelos de punta... Uff y además, ¡vivo en el campo! ¿Te imaginas cómo afecta este miedo a mi vida cotidiana?
",,x,
"A mi lo que me da miedo son ¡¡las ARAÑAS!! Hasta pensar en ellas hace que se me pongan los pelos de punta... Uff y además, ¡vivo en el campo! ¿Cómo afecta tu miedo a tu vida cotidiana?",,x,
"He llegado incluso a llorar o cabrearme por estar cerca de una araña. ¿Qué otras cosas crees que me pueden ocurrir si estoy cerca de las arañas?
",x,,
"Es complicado estar cerca de algo que te da mucho miedo. A veces puedo llorar o enfadarme mucho, ¿qué cosas te ocurren a ti cuando estas cerca de algo que te da mucho miedo?",,x,
"A otros amigos/as les suelen dar miedo las alturas, las inyecciones, los ascensores… ¿Cómo le explicarías un miedo así a alguien que no lo ha vivido nunca?
",x,x,
"Me gustaría pedirle ayuda a alguien para vencer el miedo que me dan las arañas, ¿a quién crees que puedo pedirle ayuda?
",x,,
Las cosas o situaciones que te dan mucho miedo y tuvieras pedir ayuda ¿A quién le pedirías ayuda?,,x,
"Si tuvieras que pedir ayuda ante cosas o situaciones que me de mucho MIEDO ¿qué crees que me dirán?
",x,x,
¿Que cosas crees que podrían llegar a decirte las personas a la que le pidieses ayuda para enfrentarte a tu miedo?,,x,
"Si a ti te estuviera pasando algo parecido ¿cómo te gustaría que reaccionasen tus seres queridos?
",x,x,
"Si le contaras algo a tus seres queridos sobre el miedo que sientes, ¿cómo te gustaría que reaccionaran?",,x,
