Texto del mensaje,Aplica a sano,Aplica a indicada,
"A veces me vienen unos pensamientos que no me puedo quitar de encima ni haciendo algo que me guste. A veces no puedo frenar la idea de que estoy contaminado o de que me va a pasar algo terrible, ¡no para de repetirse en mi cabeza! ¿Te imaginas qué otros pensamientos me vienen sin parar?
",x,,
"Algunas veces me vienen algunos pensamientos una y otra, y otra y otra vez, que pueden ser un poco extraños para los demás. ¿Cómo crees que me puede estar afectando?
",x,,
"Algunos días me siento desesperadx porque quiero que pare de repetirse todo el rato la misma idea sin parar. Me voy a correr, escucho música, juego un rato... ¿Qué podría hacer para parar los pensamientos desagradables?

",x,,
"Cada vez que salgo de casa tengo que echarle una foto para comprobar que realmente he cerrado la puerta y aun así tampoco me fio, sigo toda la mañana dándole vueltas a si habŕe cerrado bien la puerta. ¿Cómo crees que puedo sentirme? ",x,,
"Juntando un mismo día todos esos pensamientos podría sumar una hora o más… Mis amigos no entienden que pierda tanto tiempo dándole vueltas a la cabeza, ¿cómo se lo explicarías tú a tus amigos?
",x,x,
"A veces me gustaría pedir ayuda porque no quiero seguir estando tan gobiadx por darle tantas vueltas a la misma idea, pero no sé cómo contarle todo esto a alguien, ¿cómo lo harías tú?",x,x,
"Sé que tengo un mónton de gente a la que le importo y no me he atrevido todavía a contarles que tengo algunas ideas que se me repiten sin parar, ¿cómo crees que reaccionarían?",x,,
"A veces me vienen unos pensamientos que no me puedo quitar de encima ni haciendo algo que me guste. A veces no puedo frenar la idea de que estoy contaminado o de que me va a pasar algo terrible, ¡no para de repetirse en mi cabeza! ¿Qué cosas son las que te vienen a la cabeza a ti y que no puedes frenar?
",,x,
"Cuando me vienen algunas ideas que no consigo parar sé que algunas personas pueden no entender lo que me pasa y me preocupa, pero me da un poco de cosa contarlo, ¿cómo te afecta a ti tener todo el rato la misma idea repitiéndose?",,x,
"Algunos días me siento desesperadx porque quiero que pare de repetirse todo el rato la misma idea sin parar. Me voy a correr, escucho música, juego un rato... ¿Qué cosas haces tú para frenar los pensamientos desagradables?",,x,
"Aunque haga algunas cosas que me ayuden a sentirme más relajadx como comprobar varias veces si he hecho las cosas bien, hay veces que no puedo evitar darle vueltas a las cosas. ¡Es desesperante! ¿Cómo te sientes tú cuando haces cosas para frenar los pensamientos y no lo consigues? ",,x,
"Sé que tengo un mónton de gente a la que le importo y no me he atrevido todavía a contarles que tengo algunas ideas que se me repiten sin parar, ¿cómo crees que reaccionarían las personas que te quieren si les contaras como te sientes?",,x,
"a veces tiendo a hacer cosas concretas una y otra vez, incluso pueden llegar a parecer raras. Un ejemplo para que me entiendas es encender y apagar la luz varias veces seguidas… ¿Qué otras cosas se te ocurren que puedo hacer?",x,,
"a veces tiendo a hacer cosas concretas una y otra vez, incluso pueden llegar a parecer raras. Un ejemplo para que me entiendas es encender y apagar la luz varias veces seguidas… ¿Qué cosas haces tú?",,x,
Tengo que hacer algunas cosas una y otra vez para dejar de sentirme mal o molestx. ¿Cómo crees que me puedo sentir?,x,,
Tengo que hacer algunas cosas una y otra vez para dejar de sentirme mal o molestx. ¿Cómo te sientes tú?,,x,
"Si sumo el tiempo que puedo llegar a gastar en un día haciendo algunas cosas como contar, comprobar o tocar los objetos de una forma especial, ¡es más de una hora! ¿Cómo crees que afecta todo esto a mi vida cotidiana?",x,,
"Si sumo el tiempo que puedo llegar a gastar en un día haciendo algunas cosas como contar, comprobar o tocar los objetos de una forma especial, ¡es más de una hora! ¿Cómo te afecta hacer esas cosas en tu vida cotidiana?",,x,
"Me gustaría pedir ayuda para dejar de gastar tanto tiempo en hacer cosas de manera especial o repetitiva, pero me agobia un poco cómo contarlo, ¿qué dirías tú para pedir ayuda con una situación como esta?
",x,x,
"No es fácil hablar con todo el mundo de lo que me ocurre, no creo que todo el mundo pueda entender que necesito hacer cosas una y otra vez o de una forma muy especial. ¿Qué piensas que me dirá la gente que me quiere?
",x,,
"No es fácil hablar con todo el mundo de lo que me ocurre, no creo que todo el mundo pueda entender que necesito hacer cosas una y otra vez o de una forma muy especial. ¿Qué piensas que te dirá la gente que te quiere?
",,x,
