Texto del mensaje,Aplica a sano,Aplica a indicada,
"Hoy me gustaría que me contaras algo sobre los videojuegos. ¿Sabías que hay algunos videojuegos en los que puedes estar conectadx con otras personas mientras juegas?
",x,,
"Algunos ejemplos de juegos onlne son el World of Warcraft, Leage of Legends, Fornite, Call of Duty… ¿Conoces algún otro videojuego en el que se juegue online?",x,x,
"Aunque me encanta estar conectado con otras personas, a veces también prefiero jugar solx sin que nadie me distraiga…. ¿Conoces algún videojuego offline? Por ejemplo Animal Crossing, Mario Kart… 
",x,x,
"Me encanta dedicar un rato a los videojuegos, ¿cuánto tiempo dedicas tú a los videojuegos?
",x,x,
"Hace aproximadamente un año. Empecé a tener problemas con los videojuegos... Pasaba mucho tiempo dedicándome a ganar partidas y se me olvidaba hacer otras tareas :/ ¿Alguna vez te ha pasado algo parecido con los videojuegos? 
",x,x,
"Perdí amistades, tuve problemas con mi familia y mis amigos porque no pasaba a penas tiempo con ellos para quedarme jugando. ¿Cómo crees que me sentía en esa situación?
",x,,
"No hacía las tareas o las dejaba a medias y algunas veces hasta me dormía en clase porque me quedaba toda la noche despierto jugando. ¿Te imaginas que empezó a pasar con mis notas?
",x,,
"Prefería no salir y quedarme jugando antes que estar con mis amigos… ¿Cómo crees que me pudo afectar eso?
",x,,
"Hubo un momento en el que me dí cuenta de que había algo mal porque estaba cogiendo dinero que no es mío para poder comprar cosas del juego… Tenía miedo de que mi familia se enterara de lo que estaba haciendo ¿Podrías explicarme cómo te sentirías tú en esa situación?
",x,,
"Creo que debería pedir ayuda pero no sé a quién puedo contarle esto ¿Qué me recomiendas?
",x,,
"Me agobia un poco pensar en lo que puedan decirme cuando se enteren de todo esto ¿Cómo ayudarías tú a alguien que te cuente algo así?
",x,,
"Perdí amistades, tuve problemas con mi familia y mis amigos… ¿A ti también te pasó algo parecido?",,x,
"No hacía las tareas o las dejaba a medias y algunas veces hasta me dormía en clase porque me quedaba toda la noche despierto jugando. ¿Tú notas que te has dejado deberes sin hacer o que has sacado peores notas?
",,x,
Prefería no salir y quedarme jugando antes que estar con mis amigos o con mi familia... ¿se han fastidiado un poco algunas de tus relaciones con tu familia o amigos?,,x,
Hubo un momento en el que me dí cuenta de que había algo mal porque estaba cogiendo dinero que no es mío para poder comprar cosas del juego… Tenía miedo de que mi familia se enterara de lo que estaba haciendo. ¿Tús llegado alguna vez a usar mucho dinero o dinero que no es tuyo en algún videojuego?,,x,
"Me agobia un poco pedir ayuda y pensar en lo que puedan decirme. Si tu pidieras ayuda, ¿cómo te gustaría que te echaran una mano?",,x,
